"labels","DaysFrom20To15","DaysFrom20To16","DaysFrom20To17","DaysFrom20To18","DaysFrom20To19","labels.1","TimeToHit20","TimeToHit25","TimeToHit30"
"mean",191.067,151.8,76.633,44.867,10.3,"mean",114.217,536.12,47.519
"median",29,12.5,9.5,3.5,2,"median",41,288,35
"sd",389.56,364.723,172.914,103.087,30.409,"sd",139.226,603.886,48.681
"n",30,30,30,30,30,"n",23,25,27
"min",2,2,2,1,1,"min",2,6,1
"max",1784,1763,783,405,161,"max",431,1621,184
